,mouse,session,nnID,stim_pair,A,B,delay,delayB,delayA,dists
180,2022-08-04,20-43-29,37,"(('G', '0'), ('Q', '-6'))",G_023710_semitone_0,Q_102400_semitone_-6,-10,0,10,50.01306486066872
181,2022-08-04,20-43-29,37,"(('G', '0'), ('Q', '0'))",G_023710_semitone_0,Q_102400_semitone_0,10,10,0,42.39088965163662
182,2022-08-04,21-10-30,37,"(('K', '-5'), ('Q', '-1'))",Q_102400_semitone_-1,K_084620_semitone_-5,-20,0,20,42.347073634356455
183,2022-08-04,21-10-30,37,"(('E', '-2'), ('G', '-3'))",G_023710_semitone_-3,E_014310_semitone_-2,10,10,0,47.367997892273614
184,2022-08-04,21-10-30,37,"(('K', '-4'), ('Q', '-2'))",Q_102400_semitone_-2,K_084620_semitone_-4,-20,0,20,38.27747958492526
185,2022-08-04,21-38-15,37,"(('B', '-4'), ('J', '-3'))",B_003880_semitone_-4,J_080050_semitone_-3,-10,0,10,38.03167566726383
186,2022-08-04,21-38-15,37,"(('G', '-2'), ('Q', '-4'))",G_023710_semitone_-2,Q_102400_semitone_-4,-10,0,10,43.75533285340957
187,2022-08-04,21-38-15,37,"(('B', '-2'), ('J', '-5'))",B_003880_semitone_-2,J_080050_semitone_-5,-10,0,10,47.694296974594884
188,2022-08-04,21-38-15,37,"(('G', '-3'), ('Q', '-3'))",G_023710_semitone_-3,Q_102400_semitone_-3,-10,0,10,38.3725945086716
189,2022-08-04,19-57-12,38,"(('D', '0'), ('O', '-6'))",D_012500_semitone_0,O_093320_semitone_-6,20,20,0,55.446228880737145
190,2022-08-04,19-57-12,38,"(('K', '-6'), ('Q', '0'))",Q_102400_semitone_0,K_084620_semitone_-6,10,10,0,50.554920597550655
191,2022-08-04,19-57-12,38,"(('D', '0'), ('O', '0'))",D_012500_semitone_0,O_093320_semitone_0,-20,0,20,54.062462949009216
192,2022-08-04,19-57-12,38,"(('K', '0'), ('Q', '0'))",Q_102400_semitone_0,K_084620_semitone_0,-20,0,20,48.63360954770944
193,2022-08-04,20-43-29,38,"(('B', '-1'), ('J', '-2'))",B_003880_semitone_-1,J_080050_semitone_-2,20,20,0,50.711471148616766
194,2022-08-04,20-43-29,38,"(('B', '-1'), ('J', '-6'))",B_003880_semitone_-1,J_080050_semitone_-6,-10,0,10,49.05785064876482
195,2022-08-04,20-43-29,38,"(('G', '0'), ('Q', '-6'))",G_023710_semitone_0,Q_102400_semitone_-6,-20,0,20,49.817139735752995
196,2022-08-04,20-43-29,38,"(('G', '0'), ('Q', '0'))",G_023710_semitone_0,Q_102400_semitone_0,0,0,0,43.67042345263098
197,2022-08-04,21-10-30,38,"(('K', '-5'), ('Q', '-1'))",Q_102400_semitone_-1,K_084620_semitone_-5,-20,0,20,42.347073634356455
198,2022-08-04,21-10-30,38,"(('E', '-4'), ('G', '-1'))",G_023710_semitone_-1,E_014310_semitone_-4,10,10,0,53.41447290707839
199,2022-08-04,21-10-30,38,"(('E', '-3'), ('G', '-2'))",G_023710_semitone_-2,E_014310_semitone_-3,10,10,0,51.122047108126985
200,2022-08-04,21-38-15,38,"(('G', '-2'), ('Q', '-4'))",G_023710_semitone_-2,Q_102400_semitone_-4,-10,0,10,43.75533285340957
201,2022-08-04,21-38-15,38,"(('B', '-3'), ('J', '-4'))",B_003880_semitone_-3,J_080050_semitone_-4,-10,0,10,44.32408068968547
202,2022-08-04,21-38-15,38,"(('G', '-1'), ('Q', '-5'))",G_023710_semitone_-1,Q_102400_semitone_-5,-10,0,10,47.285221728691184
203,2022-08-04,19-57-12,39,"(('E', '0'), ('G', '0'))",G_023710_semitone_0,E_014310_semitone_0,10,10,0,55.90346999869647
204,2022-08-04,19-57-12,39,"(('D', '0'), ('O', '-6'))",D_012500_semitone_0,O_093320_semitone_-6,-10,0,10,56.16072602723897
205,2022-08-04,19-57-12,39,"(('K', '-6'), ('Q', '0'))",Q_102400_semitone_0,K_084620_semitone_-6,-20,0,20,49.98740526368576
206,2022-08-04,19-57-12,39,"(('D', '0'), ('O', '0'))",D_012500_semitone_0,O_093320_semitone_0,10,10,0,55.204305442459244
207,2022-08-04,19-57-12,39,"(('E', '-5'), ('G', '0'))",G_023710_semitone_0,E_014310_semitone_-5,-20,0,20,57.109189906695846
208,2022-08-04,19-57-12,39,"(('K', '0'), ('Q', '0'))",Q_102400_semitone_0,K_084620_semitone_0,-10,0,10,52.35325872593444
209,2022-08-04,20-43-29,39,"(('B', '-1'), ('J', '-2'))",B_003880_semitone_-1,J_080050_semitone_-2,0,0,0,49.399791263195674
210,2022-08-04,20-43-29,39,"(('B', '-1'), ('J', '-6'))",B_003880_semitone_-1,J_080050_semitone_-6,0,0,0,49.727335199178405
211,2022-08-04,20-43-29,39,"(('G', '0'), ('Q', '-6'))",G_023710_semitone_0,Q_102400_semitone_-6,0,0,0,50.266330660247995
212,2022-08-04,20-43-29,39,"(('G', '0'), ('Q', '0'))",G_023710_semitone_0,Q_102400_semitone_0,10,10,0,42.39088965163662
213,2022-08-04,21-10-30,39,"(('K', '-5'), ('Q', '-1'))",Q_102400_semitone_-1,K_084620_semitone_-5,-20,0,20,42.347073634356455
214,2022-08-04,21-10-30,39,"(('K', '-3'), ('Q', '-3'))",Q_102400_semitone_-3,K_084620_semitone_-3,-20,0,20,42.20213208426278
215,2022-08-04,21-10-30,39,"(('E', '-4'), ('G', '-1'))",G_023710_semitone_-1,E_014310_semitone_-4,10,10,0,53.41447290707839
216,2022-08-04,21-10-30,39,"(('E', '-2'), ('G', '-3'))",G_023710_semitone_-3,E_014310_semitone_-2,10,10,0,47.367997892273614
217,2022-08-04,21-10-30,39,"(('E', '-3'), ('G', '-2'))",G_023710_semitone_-2,E_014310_semitone_-3,10,10,0,51.122047108126985
218,2022-08-04,21-10-30,39,"(('K', '-4'), ('Q', '-2'))",Q_102400_semitone_-2,K_084620_semitone_-4,-20,0,20,38.27747958492526
219,2022-08-04,21-38-15,39,"(('B', '-4'), ('J', '-3'))",B_003880_semitone_-4,J_080050_semitone_-3,-10,0,10,38.03167566726383
220,2022-08-04,21-38-15,39,"(('G', '-2'), ('Q', '-4'))",G_023710_semitone_-2,Q_102400_semitone_-4,-10,0,10,43.75533285340957
221,2022-08-04,21-38-15,39,"(('B', '-2'), ('J', '-5'))",B_003880_semitone_-2,J_080050_semitone_-5,-10,0,10,47.694296974594884
222,2022-08-04,21-38-15,39,"(('B', '-3'), ('J', '-4'))",B_003880_semitone_-3,J_080050_semitone_-4,-10,0,10,44.32408068968547
223,2022-08-04,21-38-15,39,"(('G', '-1'), ('Q', '-5'))",G_023710_semitone_-1,Q_102400_semitone_-5,-10,0,10,47.285221728691184
224,2022-08-04,21-38-15,39,"(('G', '-3'), ('Q', '-3'))",G_023710_semitone_-3,Q_102400_semitone_-3,-10,0,10,38.3725945086716
225,2022-08-22,21-38-58,40,"(('A', '0'), ('B', '-6'))",A_023740_semitone_0,B_023960_semitone_-6,20,20,0,39.01961334919143
226,2022-08-22,21-38-58,40,"(('F', '-5'), ('G', '-3'))",G_093110_semitone_-3,F_084640_semitone_-5,10,10,0,43.33738861535045
227,2022-08-22,21-38-58,40,"(('A', '-2'), ('B', '-4'))",A_023740_semitone_-2,B_023960_semitone_-4,0,0,0,37.37775921235011
228,2022-08-22,21-38-58,40,"(('F', '-4'), ('G', '-3'))",G_093110_semitone_-3,F_084640_semitone_-4,-10,0,10,44.49889664812594
229,2022-08-22,21-38-58,41,"(('A', '0'), ('B', '-6'))",A_023740_semitone_0,B_023960_semitone_-6,-20,0,20,39.18325188353194
230,2022-08-22,21-38-58,41,"(('F', '-5'), ('G', '-3'))",G_093110_semitone_-3,F_084640_semitone_-5,0,0,0,43.14868084224485
231,2022-08-22,21-38-58,41,"(('A', '-2'), ('B', '-4'))",A_023740_semitone_-2,B_023960_semitone_-4,10,10,0,37.62288959200185
232,2022-08-22,21-38-58,41,"(('F', '-4'), ('G', '-3'))",G_093110_semitone_-3,F_084640_semitone_-4,0,0,0,43.877183079649335
233,2022-09-05,17-44-33,42,"(('C', '-5'), ('E', '4'))",C_029350_semitone_-5,E_099160_semitone_4,20,20,0,42.82389506031991
234,2022-09-05,17-44-33,42,"(('A', '0'), ('C', '-5'))",C_029350_semitone_-5,A_009590_semitone_0,10,10,0,62.290266592083576
235,2022-09-05,18-25-26,42,"(('A', '0'), ('C', '0'))",A_009590_semitone_0,C_029350_semitone_0,0,0,0,64.13348694340422
236,2022-09-09,20-59-16,43,"(('A', '-5'), ('D', '0'))",A_026400_semitone_-5,D_093800_semitone_0,10,10,0,48.84625846000761
237,2022-09-09,20-59-16,43,"(('A', '-3'), ('D', '0'))",A_026400_semitone_-3,D_093800_semitone_0,-20,0,20,42.55421189601697
238,2022-09-09,20-59-16,43,"(('A', '-6'), ('D', '0'))",A_026400_semitone_-6,D_093800_semitone_0,-20,0,20,48.042709814230165
239,2022-09-09,20-59-16,43,"(('A', '0'), ('D', '0'))",A_026400_semitone_0,D_093800_semitone_0,0,0,0,46.645538790845876
