,mouse,session,unit_no,ch,stim_pair,nnID,A,B,tfA,tfB,eu,freq,temp,d
114,2022-04-27,21-58-28,35,12,"(('H', '-3'), ('I', '-6'))",21,H_104560_semitone_-3,I_018750_semitone_-6,0.075,0.085,16.301132459470132,0.37396803381731336,0.10884138977379156,28.846640827947002
115,2022-04-27,21-58-28,8,7,"(('C', '-4'), ('I', '-6'))",22,I_018750_semitone_-6,C_087890_semitone_-4,0.075,0.075,17.523548878499422,0.15201276741985106,0.7114611789443673,54.45588304911899
116,2022-04-27,21-58-28,8,7,"(('H', '-3'), ('I', '-6'))",22,H_104560_semitone_-3,I_018750_semitone_-6,0.075,0.075,16.19066702724594,0.47974525658268996,0.8876056946343788,36.37368864509181
117,2022-05-20,18-51-44,47,22,"(('A', '0'), ('D', '-2'))",23,D_067750_semitone_-2,A_009580_semitone_0,0.105,0.015,42.74802717072259,0.587921200605175,-0.9386862688885851,42.7951736071607
118,2022-05-20,18-51-44,47,22,"(('D', '-2'), ('D', '0'))",23,D_067750_semitone_-2,D_067750_semitone_0,0.105,0.025,39.78880507767963,0.6008470937079315,-0.8032787815050616,48.098594691536285
119,2022-05-20,18-51-44,47,22,"(('A', '-2'), ('D', '0'))",23,A_009580_semitone_-2,D_067750_semitone_0,0.095,0.025,42.51731779505651,0.3756401380719498,-0.8962223921502392,30.966870964377904
120,2022-05-20,19-57-01,25,9,AE,24,A_098600,E_003790,0.035,0.025,36.882331733334766,0.718782701411332,0.34243539299762393,24.521335567367505
121,2022-05-20,19-57-01,25,9,BD,24,B_091560,D_023480,0.115,0.115,43.53913886276657,0.44483476342555156,0.18145115452682975,25.3987885031223
122,2022-05-20,19-57-01,57,22,BD,25,D_023480,B_091560,0.105,0.105,43.53913886276657,0.44483476342555156,0.18145115452682972,25.3987885031223
123,2022-05-20,19-57-01,61,24,BD,26,D_023480,B_091560,0.105,0.035,39.206906031318276,0.5451566192071368,-0.6222045826802381,14.40679869544845
